"1 To 3 Noodles",4.0
"7 Select",3.75
"7 Select/Nissin",3.5
A-One,2.75
"A-Sha Dry Noodle",4.06730769230769
A1,3.08333333333333
ABC,4.20833333333333
Acecook,3.27
Adabi,3.8125
"Ah Lai",4.75
Ajinatori,3.25
Amianda,3.95
Amino,3.5
"Annie Chun's",3.47916666666667
Aroi,4.5
"Asia Gold",3.4375
"Asian Thai Foods",3.55357142857143
"Authentically Asian",1.0
Azami,1.95
Baijia,1.25
"Baixiang Noodles",3.7
Baltix,3.5
Bamee,3.3
Batchelors,2.921875
"Binh Tay",3.41666666666667
"Bon Go Jang",3.375
Bonasia,3.5
Boss,2.5
"CJ CheilJedang",2.875
"Campbell's",1.0
"Cap Atoom Bulan",3.0
CarJEN,4.92857142857143
"Chaudhary's Wai Wai",2.5
Chencun,3.4
"Chering Chang",4.35
Chewy,2.625
Chikara,4.5
"China Best",1.0
"Ching's Secret",3.8125
"Chorip Dong",4.25
ChoripDong,5.0
Choumama,4.0
"Chuan Wei Wang",3.5
Cintan,3.3
Conimex,2.1
"Crystal Noodle",0.25
"Curry Prince",4.0
Daddy,5.0
Daifuku,5.0
Daikoku,3.875
Daraz,3.0
Deshome,4.13461538461539
Doll,3.296875
Dongwon,4.5
"Dr. McDougall's",0.0
Dragonfly,4.05769230769231
"Dream Kitchen",3.9375
E-Zee,4.33333333333333
E-mi,3.75
"Eat & Go",4.2
Econsave,3.5
Emart,3.82142857142857
FMF,4.125
Fantastic,3.04166666666667
"Farmer's Heart",3.75
"Fashion Food",3.16666666666667
"Fashion Foods",1.8
Foodmon,5.0
"Forest Noodles",4.1875
Fortune,2.6875
"Four Seas",3.21875
"Fu Chang Chinese Noodle Company",4.0
"Fuji Mengyo",3.5
Fujiwara,3.96428571428571
Fuku,3.88
GGE,3.5
GS25,4.25
GaGa,3.78571428571429
"Gau Do",3.125
Gefen,3.4375
"Global Inspiration",2.25
"Goku Uma",3.75
Goku-Uma,3.4375
"Golden Mie",3.58333333333333
"Golden Wheat",3.125
"Golden Wonder",4.25
Gomex,2.875
"Good Tto Leu Foods",4.0
"Great Value",3.35714285714286
GreeNoodle,1.5
"Guava Story",1.0
Haioreum,3.5
"Han's South Korea",3.25
Hankow,3.625
"Hao Way",3.84375
"Happy Cook",4.41666666666667
"Happy Family",4.0
Healtimie,3.75
Hi-Myon,4.0
Higashi,5.0
Higashimaru,4.5
HoMyeonDang,4.1
Hosoonyi,3.75
"Hsin Tung Yang",0.0
"Hua Feng",4.25
"Hua Feng Noodle Expert",2.0
ICA,3.125
IbuRamen,2.5
Ibumie,3.75
"Ikeda Shoku",4.125
Indomie,4.07075471698113
Ishimaru,4.5
Itomen,3.9
Itsuki,3.625
J.J.,3.875
JFC,4.125
JML,3.90217391304348
"Jackpot Teriyaki",5.0
Jingqi,4.375
"Just Way",2.75
KOKA,4.21
"Kabuto Noodles",3.85
Kailo,3.25
Kamfen,3.48666666666667
"Kang Shi Fu",4.05
Katoz,3.5
"Kiki Noodle",5.0
"Kim Ve Wong",0.0
"Kim's Bowl",3.5
Kimura,5.0
Kin-Dee,3.75
Knorr,2.875
Ko-Lee,3.475
"Koh Thai",1.6875
Koka,3.75
"Komforte Chockolates",5.0
Koyo,2.03571428571429
Kumamoto,2.5
Kuriki,4.41666666666667
"La Fonte",4.0
"La Moderna",3.0
"Lee Fah Mee",4.0
Lele,3.5
"Liang Cheng Mai",1.0
Lipton,1.5
Lishan,1.5
"Lishan Food Manufacturing",3.5
"Little Cook",3.33928571428571
"Liu Quan",4.0
"Long Jun Hang",2.625
"Long Kow",2.06
"Lotus Foods",3.16666666666667
